Time (milliseconds)	ax	ay	az	mx	my	mz	ts	alti
362412	16	-32	-1648	18750	12750	81750	362390	394.4228
362444	32	-144	-1248	18300	12750	81150	362422	395.5563
362491	-48	64	1200	18450	12600	80400	362467	395.4031
362544	-16	-64	-1360	17850	13650	81450	362522	394.9116
362612	0	-224	-320	18750	12750	79500	362591	395.3106
362643	80	-80	-1488	17400	12900	80550	362622	395.5563
362693	64	16	-1008	17850	13050	80700	362671	395.3106
362740	48	-128	-1056	18450	12600	79950	362719	395.5563
362789	96	0	-1008	17700	12300	79950	362767	395.0675
362856	-64	-48	-1248	17850	12600	80100	362835	394.8191
362892	80	-16	-960	18450	12450	79800	362869	395.0675
362938	96	-64	-1024	18000	13350	80100	362917	394.8191
362994	32	-144	-1264	18450	12300	80700	362971	395.5563
363040	160	-112	-3168	18150	12300	80250	363019	395.0675
363110	96	-64	-720	18300	13200	80700	363087	395.802
363142	48	-112	-1168	17400	12600	80400	363121	394.975
363191	64	-160	-976	18000	12450	80850	363169	394.5761
363238	32	16	-1360	18900	12600	79500	363217	394.8825
363305	80	-16	-976	19200	12600	80850	363282	395.4031
363341	96	-64	-976	18300	12750	79650	363319	395.3106
363390	48	-16	-1008	18900	12000	79950	363367	395.0675
363443	96	-80	-1008	17550	12450	79800	363421	394.5761
363492	-16	0	-1088	17850	12450	80550	363469	395.2208
363560	96	-48	-1008	17850	12150	79800	363539	394.8191
363593	16	-32	-992	18450	12450	79650	363571	395.8628
363641	128	-32	-1248	17700	13200	80700	363619	395.7122
363691	176	-144	-1824	18300	13050	80550	363668	395.8628
363743	144	-144	-992	18750	12300	79950	363721	395.7122
363815	-16	-64	-1072	17400	12750	80550	363791	394.3937
363846	160	-64	-944	19050	12600	80400	363822	395.8628
363893	48	-64	-1120	17850	13200	80850	363871	394.8825
363942	16	-128	-1024	18600	12600	79650	363919	395.6198
363988	32	0	-1088	18600	12900	80250	363967	395.5272
364057	112	16	-816	19350	13200	80850	364034	395.1917
364090	32	-80	-1024	17850	12600	80100	364069	395.0067
364139	144	-16	-1200	17400	12900	80250	364117	394.8561
364193	64	-128	-928	18150	12900	79950	364171	394.761
364262	16	16	-848	18600	12750	80400	364239	394.8244
364291	32	-16	-736	18300	12600	80400	364270	395.0702
364343	32	-80	-1184	18000	12900	79350	364321	394.7055
364390	-64	-80	-1088	17400	12900	80400	364369	394.7055
364439	96	32	-1056	17850	12600	79800	364417	395.2287
364504	80	-96	-1008	18900	12450	81000	364483	395.7836
364541	112	16	-1040	17550	12900	79800	364519	395.8443
364589	32	-96	-976	17250	12450	79500	364567	395.8153
364644	96	32	-976	19050	11700	80400	364621	395.9421
364691	64	-96	-992	18000	13500	80400	364669	395.913
364759	80	-16	-928	18900	13350	80100	364735	394.9961
364793	64	0	-928	18300	13800	80850	364771	394.6579
364842	176	-128	64	18600	13050	80250	364819	395.0305
364889	96	-32	-1008	18150	12600	80100	364867	395.7386
364944	96	16	-816	18300	12450	79800	364922	396.1376
365012	80	32	-1280	18450	12450	80100	364991	396.0795
365044	48	-112	-1072	18300	13050	80250	365022	395.3449
365095	16	-48	-816	18300	12450	80550	365071	395.4083
365140	64	-80	-1008	17700	11400	80250	365119	394.5813
365188	48	-16	-992	18450	12600	80850	365167	394.7372
365256	48	-48	-992	18600	12750	79950	365234	394.9512
