millis	ax	ay	az	mx	my	mz
15536	868	-332	-456	-69300	9750	-34650
15593	868	-336	-460	-69300	10200	-33600
15638	864	-328	-456	-68250	9750	-32700
15737	872	-328	-452	-68700	9000	-33000
15749	864	-336	-456	-68850	9300	-33600
15789	852	-332	-444	-68850	8850	-34200
15836	864	-328	-448	-68850	9150	-33900
15884	868	-324	-460	-68700	10050	-33750
15941	872	-336	-464	-68850	9300	-33450
15987	864	-320	-464	-69150	9300	-33900
16034	868	-324	-456	-68400	9150	-33900
16088	864	-332	-448	-68850	9150	-33300
16137	872	-332	-460	-69150	9000	-33750
16184	860	-332	-456	-68250	9000	-34200
16241	864	-324	-476	-69000	9300	-34050
16287	868	-324	-460	-69450	10050	-33300
16334	864	-332	-456	-68400	10200	-33150
16388	872	-332	-456	-69150	9900	-33900
16436	872	-332	-452	-68100	8850	-34050
16485	868	-332	-460	-68250	8850	-34050
16538	868	-332	-468	-69450	9150	-34800
16621	864	-332	-460	-68550	10650	-33000
16637	872	-332	-444	-68850	9900	-33150
16688	864	-332	-464	-69150	9750	-34200
16736	868	-332	-448	-69000	9450	-33450
16784	868	-336	-456	-69300	9750	-33750
16838	872	-328	-452	-68250	9300	-33300
16893	856	-336	-468	-67650	9000	-33000
16934	868	-336	-460	-69150	9750	-34050
16988	876	-332	-456	-68400	9000	-33900
17036	860	-332	-460	-68100	9300	-33750
17084	864	-332	-452	-68250	9000	-33600
17138	864	-328	-464	-69150	10200	-33000
17186	864	-328	-452	-68100	9450	-33450
17241	864	-332	-464	-69000	9300	-33900
17289	872	-328	-460	-68700	9150	-34350
17336	868	-336	-456	-68400	8850	-34650
17384	868	-328	-452	-68400	8250	-33750
17438	860	-332	-456	-67800	9600	-34500
17486	864	-328	-456	-68400	8850	-33450
17546	864	-328	-464	-68550	9600	-33450
17588	864	-328	-464	-67950	9150	-34350
17636	872	-328	-452	-68400	10050	-33450
17684	868	-324	-444	-68550	8700	-33600
17738	872	-332	-460	-68850	9000	-33750
17786	868	-328	-468	-68700	9450	-33450
17834	864	-336	-452	-69000	8850	-33900
17917	872	-336	-452	-68550	9300	-33600
